Tile,Lat,Long,Height,m East,m North
LBE7,-26.703104,116.694988,369.349,2405.67,23.61
LBE8,-26.693431,116.701253,373.690,3029.46,1095.29
LBF1,-26.710655,116.678885,371.037,803.01,-812.85
LBF2,-26.701698,116.685604,369.243,1471.78,179.53
LBF3,-26.709562,116.682652,368.310,1177.92,-691.74
LBF4,-26.707635,116.687670,366.646,1677.27,-478.33
LBF5,-26.711732,116.686485,367.407,1559.38,-932.27
LBF6,-26.704281,116.689719,368.260,1881.27,-106.66
LBF7,-26.705590,116.693781,367.949,2285.48,-251.75
LBF8,-26.711807,116.690826,365.145,1991.31,-940.61
LBG1,-26.712268,116.672481,370.300,165.76,-991.57
LBG2,-26.716739,116.675954,368.752,511.31,-1486.98
LBG3,-26.721963,116.674217,365.986,338.49,-2065.83
LBG4,-26.716032,116.678913,367.881,805.81,-1408.62
LBG5,-26.713602,116.681927,370.544,1105.72,-1139.39
LBG6,-26.721151,116.680182,365.385,931.99,-1975.87
LBG7,-26.720171,116.684245,366.173,1336.34,-1867.29
LBG8,-26.715554,116.687540,365.878,1664.29,-1355.78
