-14202.036626047444, 42727.90666784702, -178.95023625488648
-14192.246456660641, 42847.0999926269, -179.72737455948936
-14162.446401587214, 42751.47651195003, -179.01962578675102
463.7104735107693, -780.2464927928045, -23.62699169648627
502.37949002406185, -830.2561327087126, -24.136243001040356
518.0108327904491, -701.5115419525306, -23.622050924513815
-132.36070488253554, -1298.447591702039, -24.895818028665637
-126.15151613787596, -1253.911148511117, -24.886787023261476
-93.36252882224106, -1347.3631155426742, -25.10526299848135
-1214.9552774495585, -1408.8726209174715, -26.634109377074765
-1204.645546577913, -1363.1481138640165, -26.32221585093407
-1157.4406144579839, -1358.1833036590601, -26.412376070629364
-1292.1536810067382, 4661.24394092604, -6.895860073132894
-1268.9069205411565, 4720.994014821998, -7.1350850646296635
-1260.3334022593845, 4611.1565465777985, -6.453082300807807
-1221.58669320238, 4707.095643224911, -6.91553905058737
1584.7411766763685, 6127.786155697479, -3.8016130533826527
1619.9579006306988, 6170.060840620146, -3.6512266290789057
1640.3677212122384, 6124.433732005928, -3.812524391202146
1646.6406133516984, 6215.655317719558, -3.402328308472761
-535.1626561695422, -497.6003140768411, -21.8043196031673
-546.0921309048224, -420.2149149698506, -21.299686506207593
8154.897303738652, -149.1373884024474, -27.4015593524623
8161.212130118243, -191.51470587019867, -27.710804945829295
8179.71549636614, -230.01274178056497, -27.83588909662467
8202.211227793332, -142.57192614005885, -27.562360186735077
14569.921552113767, -9106.668596716334, -28.777370044000236
14581.810454813858, -9060.59491193577, -28.939096800189873
14604.031312941623, -9131.574542860133, -28.99132553016716
14628.886289677474, -9084.516200959395, -28.681396711517664
26522.8842637248, -7789.336498979574, -84.21787871861852
26541.09293991541, -7729.773666368657, -84.22156478464967
26567.181274673345, -7826.423065562487, -84.74846604400773
26575.96364841709, -7779.605332973984, -84.62798721318904
36153.77279191869, -10521.498047766205, -146.37813498006653
36181.648763113204, -10444.456701181298, -146.11040595487611
36203.75401416219, -10508.379663320706, -146.64135641653775
36224.62984256823, -10455.358668929712, -146.3733608915736
-966.7810818516978, -27.65509242019803, -21.636037823156073
-969.6623604508525, -117.12057317779272, -22.037491867507867
-948.4981233448743, -76.56212153310446, -21.833679316966993
-1117.722841391858, 758.1409102222267, -19.90578265407936
-1121.1554884263699, 710.2279975544557, -20.00087674250443
-1095.001581194193, 663.8066313114573, -20.19131541882848
-646.2532707002615, 1689.8524279623982, -16.218953169638496
-610.1261583276921, 1657.0526836602721, -16.106779073842233
-598.2775618824787, 1713.5181532549996, -15.92056024840619
4625.665129069566, -1286.4058911797397, -27.77711980184995
4659.690936785048, -1202.970584809203, -27.685731631955377
4666.3286832388685, -1308.7865833033638, -27.911427266273677
4684.0623598367165, -1259.460705130695, -27.8145626775447
4448.306998791715, -4482.364032417186, -33.59462612851826
4482.224831166068, -4451.944778249763, -33.49719199159813
4488.951927601397, -4542.246366838732, -33.66556819352786
4501.711674556034, -4494.714694056223, -33.54095457370522
-173.06738474535342, 667.7206739848835, -16.999652513089032
-139.4906659334405, 629.6478149819717, -16.994956678542444
-4363.757646843398, -7027.725369110821, -44.63095577685294
-4322.192851819915, -7007.47515242055, -44.68025868547079
-4318.1791529114735, -6962.75599021118, -44.62858851606052
-4299.498516352681, -7044.754329805866, -44.80588557155329
-4264.903072591417, -7001.244916315464, -44.73467790137579
-4256.733640578444, -7057.101250838765, -44.89070786453317
-13873.137843997429, -10901.2071734249, -59.8289842152617
-13864.309518348986, -10943.021678229814, -60.08125155306061
-13827.263991534328, -10901.64492848341, -59.72965577140258
-13809.699492561334, -10965.809423218036, -60.30134075701608
-13277.306418575285, -25603.455394711822, -85.28510725000342
-13242.957250975047, -25658.838586191596, -85.43576545860287
-13232.652632712914, -25604.439655141534, -85.1958278924576
-13214.604253294148, -25556.709087813717, -84.96694448327798
-26086.976869052047, -28259.595913986046, -181.11727231899022
-26070.145772619828, -28314.59433643063, -181.39188002029732
-26058.843594904887, -28215.11757587419, -180.50495683053668
-26029.141647519395, -28262.802532168767, -180.79408735583092
387.89191409694797, 918.0302736200347, -18.540236637768174
324.0386067956989, 832.5844389434161, -18.624938900032816
360.0630066392768, 786.0912918177997, -18.92098449101121
1102.1874827680194, 627.5336962439777, -20.88888973477333
1151.6087738446345, 588.6618579215384, -20.793958611787104
1715.9569518361855, -293.52906758228244, -22.9010136986941
1724.8196774345029, -353.28443436809516, -22.906443025641238
1747.093770846158, -259.42607524455974, -22.70802858270565
-3483.233047203178, -3459.5468787992722, -36.75545455985525
-3480.561975978384, -3415.9176385147134, -36.5304912748843
-3442.9865408382843, -3373.7882116234546, -36.38759507996133
-3419.83832290774, -3411.958151829628, -36.49537356094925
-3405.8884726987194, -3455.394559986449, -36.511241482174455
-3367.539692109519, -3421.3152253925023, -36.472426385437984
-6225.9241672364615, -1598.9744150540907, -34.71537860928038
-6209.78271323819, -1700.662717009446, -35.025854288629944
-6179.746833401205, -1647.109019618063, -34.98250266273999
-6164.685572798162, -1710.9034963778677, -34.984641397004
